author,journal,doi,title,institution,place_inst,number/vol/measure,web,year,type,type_detail
"Ron Naveen field [1] ""Dataset""",,,Antarctic Site Inventory (ASI): Censuses of penguins and other seabirds dataset,,,,,2023,unpublished,
"Wayne Z. Trivelpiece ""Heather J. Lynch""",,,,,,,,2013,personal communication,
"William R. Fraser ""Heather J. Lynch""",,,,,,,,2017,personal communication,
" ""Alex Borowicz"" ""Philip McDowall"" ""Casey Youngflesh"" ""Thomas Sayre-McCord"" ""Gemma Clucas"" ""Rachael Herman"" [7] ""Steve Forrest"" ""Melissa Rider"" ""Mathew R. Schwaller"" ""Tom Hart"" ""Stéphanie Jenouvrier"" ""Michael J. Polito"" [13] ""Hanumant Singh"" ""Heather J. Lynch""","Scientific Reports number [1] ""1"" pages [1] ""3926""",10.1038/s41598-018-22313-w,Multi-modal survey of Adélie penguin mega-colonies reveals the Danger Islands as a seabird hotspot,,,,https://doi.org/10.1038/s41598-018-22313-w,2018,article,
" ""Peter T. Fretwell"" ""Michelle A. LaRue"" ""Paul Morin"" ""Gerald L. Kooyman"" ""Barbara Wienecke"" ""Norman Ratcliffe"" ""Adrian J. Fox"" [8] ""Andrew H. Fleming"" ""Claire Porter"" ""Philip N. Trathan""","PLOS One number [1] ""4"" pages [1] ""e33751""",10.1371/journal.pone.0033751,"An emperor penguin population estimate: The first global, synoptic survey of a species from space",,,,http://dx.doi.org/10.1371/journal.pone.0033751,2012,article,
" ""Philip N. Trathan"" ""Barbara Wienecke"" ""Christophe Barbraud"" ""Stéphanie Jenouvrier"" ""Gerald L. Kooyman"" ""Céline Le Bohec"" [7] ""David G. Ainley"" ""André Ancel"" ""Daniel P. Zitterbart"" ""Steven L. Chown"" ""Michelle A. LaRue"" ""Robin Cristofari"" [13] ""Jane Younger"" ""Gemma Clucas"" ""Charles-André Bost"" ""Jennifer A. Brown"" ""Harriet J. Gillet"" ""Peter T. Fretwell""","Biological Conservation pages [1] ""108216""",10.1016/j.biocon.2019.108216,The emperor penguin--Vulnerable to projected rates of warming and sea ice loss,,,,https://doi.org/10.1016/j.biocon.2019.108216,2020,article,
" ""І. V. Dykyy"" ""Gennadi P. Milinevsky"" ""О. L. Savitsky"" ""D. G. Lutsenko"" ""P. B. Khoetsky"" [6] ""M. F. Veselsky"" ""V. M. Smagol"" ""E. O. Dykyy"" ""A. О. Dzhulay"" ""J. V. Tsaryk"" [11] ""K. M. Nazaruk"" ""A. T. Zatushevsky"" ""A. O. Simon"" ""M. A. Telipska""","Ukrainian Antarctic Journal number [1] ""17"" pages [1] ""130--147""",,Features of chronology and breeding success of Pygoscelis papua and P. аdeliae (Spheniscidae) penguins in the Wilhelm Archipelago (CCAMLR Subarea 48.1),,,,,2018,article,
" ""Akiko Kato"" ""Yan Ropert-Coudert""","Polar Bioscience pages [1] ""55--62""",,Rapid increase in Adélie penguin populations in the Lützow-Holm Bay area since the mid 1990s,,,,http://docyaounde.free.fr/stock/pdf/akiko07polarbiosci.pdf,2006,article,
" ""Akiko Kato"" ""Hideo Ichikawa""","Polar Bioscience pages [1] ""36--39""",10.15094/00006128,"Breeding status of Adélie and emperor penguins in the Mt. Riiser-Larsen area, Amundsen Bay",,,,http://ci.nii.ac.jp/naid/110000035855/en,1999,article,
" ""Alejandro R. Carlini"" ""Néstor R. Coria"" ""María Mercedes Santos"" ""Javier Negrete"" ""Mariana A. Juáres"" [6] ""G. A. Daneri""","Polar Biology number [1] ""10"" pages [1] ""1427--1433""",10.1007/s00300-009-0637-y,Responses of Pygoscelis adeliae and P. papua populations to environmental changes at Isla 25 de Mayo (King George Island),,,,http://dx.doi.org/10.1007/s00300-009-0637-y,2009,article,
